match_date,venue,city,team_1,team_2,toss_winner,toss_decision,match_winner
2017-06-18,Kennington Oval,London,India,Pakistan,India,field,Pakistan
2016-07-21,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,India,India,bat,India
2016-07-30,"Sabina Park, Kingston",Jamaica,West Indies,India,West Indies,bat,
2016-08-09,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,India,West Indies,field,India
2016-08-18,"Queen's Park Oval, Port of Spain",Trinidad,West Indies,India,West Indies,bat,
2016-12-20,Sydney Showground Stadium,,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2016-12-21,Adelaide Oval,,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,field,Brisbane Heat
2016-12-22,Docklands Stadium,Melbourne,Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Melbourne Renegades
2016-12-23,Sydney Cricket Ground,,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,field,Hobart Hurricanes
2016-12-23,Western Australia Cricket Association Ground,Perth,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Perth Scorchers
2016-12-26,Bellerive Oval,Hobart,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,bat,Melbourne Stars
2016-12-27,Sydney Cricket Ground,,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Sixers
2016-12-28,Sydney Showground Stadium,,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2016-12-29,Docklands Stadium,Melbourne,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2016-12-30,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,field,Brisbane Heat
2016-12-31,Adelaide Oval,,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers
2017-01-01,Melbourne Cricket Ground,,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Renegades
2017-01-01,Western Australia Cricket Association Ground,Perth,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers
2017-01-02,Bellerive Oval,Hobart,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,field,Hobart Hurricanes
2017-01-03,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2017-01-04,Sydney Showground Stadium,,Sydney Thunder,Melbourne Stars,Sydney Thunder,field,Sydney Thunder
2017-01-05,Western Australia Cricket Association Ground,Perth,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Brisbane Heat
2017-01-06,Adelaide Oval,,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,field,Adelaide Strikers
2017-01-07,Docklands Stadium,Melbourne,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Melbourne Stars
2017-01-08,Bellerive Oval,Hobart,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
2017-01-09,Sydney Cricket Ground,,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,bat,Sydney Sixers
2017-01-10,Melbourne Cricket Ground,,Melbourne Stars,Adelaide Strikers,Melbourne Stars,field,Melbourne Stars
2017-01-11,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,Perth Scorchers,Brisbane Heat,field,Perth Scorchers
2017-01-12,Docklands Stadium,Melbourne,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
2017-01-14,Sydney Cricket Ground,,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Thunder
2017-01-14,Western Australia Cricket Association Ground,Perth,Perth Scorchers,Melbourne Stars,Perth Scorchers,bat,Melbourne Stars
2017-01-16,Adelaide Oval,,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,field,Melbourne Renegades
2017-01-17,Melbourne Cricket Ground,,Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Brisbane Heat
2017-01-18,Sydney Showground Stadium,,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,Adelaide Strikers
2017-01-20,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,Melbourne Renegades,Brisbane Heat,field,Melbourne Renegades
2017-01-21,Bellerive Oval,Hobart,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2017-01-21,Melbourne Cricket Ground,,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2017-01-24,Western Australia Cricket Association Ground,Perth,Perth Scorchers,Melbourne Stars,Perth Scorchers,field,Perth Scorchers
2017-01-25,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,Sydney Sixers,Sydney Sixers,field,
2017-01-28,Western Australia Cricket Association Ground,Perth,Perth Scorchers,Sydney Sixers,Perth Scorchers,field,Perth Scorchers
2016-07-28,Queens Sports Club,Bulawayo,Zimbabwe,New Zealand,Zimbabwe,bat,New Zealand
2016-08-06,Queens Sports Club,Bulawayo,Zimbabwe,New Zealand,New Zealand,bat,New Zealand
2016-08-03,"Warner Park, Basseterre",,Guyana Amazon Warriors,Jamaica Tallawahs,Guyana Amazon Warriors,field,Guyana Amazon Warriors
2016-08-04,"Warner Park, Basseterre",St Kitts,St Lucia Zouks,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2016-08-05,"Warner Park, Basseterre",St Kitts,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago Knight Riders,field,Jamaica Tallawahs
2016-08-07,"Warner Park, Basseterre",St Kitts,Guyana Amazon Warriors,Jamaica Tallawahs,Jamaica Tallawahs,field,Jamaica Tallawahs
2016-06-29,"Queen's Park Oval, Port of Spain",Trinidad,Trinbago Knight Riders,St Lucia Zouks,St Lucia Zouks,field,St Lucia Zouks
2016-07-01,"Queen's Park Oval, Port of Spain",Trinidad,Trinbago Knight Riders,Barbados Tridents,Barbados Tridents,field,Trinbago Knight Riders
2016-07-02,"Queen's Park Oval, Port of Spain",Trinidad,Trinbago Knight Riders,Guyana Amazon Warriors,Guyana Amazon Warriors,field,Guyana Amazon Warriors
2016-07-04,"Queen's Park Oval, Port of Spain",Trinidad,Trinbago Knight Riders,Jamaica Tallawahs,Jamaica Tallawahs,field,Jamaica Tallawahs
2016-11-04,"Mission Road Ground, Mong Kok",Hong Kong,Hong Kong,Papua New Guinea,Hong Kong,bat,Hong Kong
2016-11-06,"Mission Road Ground, Mong Kok",Hong Kong,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea
2016-11-08,"Mission Road Ground, Mong Kok",Hong Kong,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Hong Kong
2017-03-03,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,England,West Indies,field,England
2017-03-05,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,England,West Indies,bat,England
2017-03-09,"Kensington Oval, Bridgetown",Barbados,West Indies,England,West Indies,field,England
2017-05-05,County Ground,Bristol,England,Ireland,Ireland,bat,England
2017-05-07,Lord's,London,England,Ireland,Ireland,field,England
2016-10-07,Shere Bangla National Stadium,Mirpur,Bangladesh,England,England,bat,England
2016-10-09,Shere Bangla National Stadium,Mirpur,Bangladesh,England,England,field,Bangladesh
2016-10-12,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,England,England,field,England
2016-10-20,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,England,England,bat,England
2016-10-28,Shere Bangla National Stadium,Mirpur,Bangladesh,England,Bangladesh,bat,Bangladesh
2016-09-22,Green Park,Kanpur,India,New Zealand,India,bat,India
2016-09-30,Eden Gardens,Kolkata,India,New Zealand,India,bat,India
2016-10-08,Holkar Cricket Stadium,Indore,India,New Zealand,India,bat,India
2016-10-16,Himachal Pradesh Cricket Association Stadium,Dharmasala,India,New Zealand,India,field,India
2016-10-20,Feroz Shah Kotla,Delhi,India,New Zealand,India,field,New Zealand
2016-10-23,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,New Zealand,India,field,India
2016-10-26,JSCA International Stadium Complex,Ranchi,India,New Zealand,New Zealand,bat,New Zealand
2016-10-29,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,New Zealand,India,bat,India
2017-05-24,Headingley,Leeds,England,South Africa,South Africa,field,England
2017-05-27,The Rose Bowl,Southampton,England,South Africa,South Africa,field,England
2017-05-29,Lord's,London,England,South Africa,South Africa,field,South Africa
2017-06-21,The Rose Bowl,Southampton,England,South Africa,South Africa,bat,England
2017-06-23,County Ground,Taunton,England,South Africa,England,field,South Africa
2017-06-25,Sophia Gardens,Cardiff,England,South Africa,South Africa,field,England
2017-07-06,Lord's,London,England,South Africa,England,bat,England
2017-07-14,Trent Bridge,Nottingham,South Africa,England,South Africa,bat,South Africa
2017-07-27,Kennington Oval,London,England,South Africa,England,bat,England
2017-08-04,Old Trafford,Manchester,England,South Africa,England,bat,England
2017-08-17,Edgbaston,Birmingham,England,West Indies,England,bat,England
2017-08-25,Headingley,Leeds,England,West Indies,England,bat,West Indies
2017-09-07,Lord's,London,West Indies,England,West Indies,bat,England
2017-09-16,Riverside Ground,Chester-le-Street,West Indies,England,England,field,West Indies
2017-09-19,Old Trafford,Manchester,West Indies,England,West Indies,bat,England
2017-09-21,Trent Bridge,Nottingham,England,West Indies,West Indies,field,
2017-09-24,County Ground,Bristol,England,West Indies,West Indies,field,England
2017-09-27,Kennington Oval,London,West Indies,England,England,field,England
2017-09-29,The Rose Bowl,Southampton,West Indies,England,England,field,England
2017-05-12,Malahide,Dublin,Ireland,Bangladesh,Ireland,field,
2017-05-14,Malahide,Dublin,Ireland,New Zealand,Ireland,field,New Zealand
2017-05-17,Clontarf Cricket Club Ground,Dublin,Bangladesh,New Zealand,New Zealand,field,New Zealand
2017-05-19,Malahide,Dublin,Ireland,Bangladesh,Bangladesh,field,Bangladesh
2017-05-21,Malahide,Dublin,Ireland,New Zealand,Ireland,field,New Zealand
2017-05-24,Clontarf Cricket Club Ground,Dublin,Bangladesh,New Zealand,Bangladesh,field,Bangladesh
2016-11-09,Saurashtra Cricket Association Stadium,Rajkot,India,England,England,bat,
2016-11-17,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,England,India,bat,India
2016-11-26,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,India,England,England,bat,India
2016-12-08,Wankhede Stadium,Mumbai,India,England,England,bat,India
2016-12-16,"MA Chidambaram Stadium, Chepauk",Chennai,India,England,England,bat,India
2017-01-15,Maharashtra Cricket Association Stadium,Pune,India,England,India,field,India
2017-01-19,Barabati Stadium,Cuttack,India,England,England,field,India
2017-01-22,Eden Gardens,Kolkata,India,England,India,field,England
2017-01-26,Green Park,Kanpur,India,England,England,field,England
2017-01-29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,England,England,field,India
2017-02-01,M Chinnaswamy Stadium,Bangalore,India,England,England,field,India
2017-03-26,"Traeger Park, Alice Springs",Alice Springs,Victoria,South Australia,Victoria,bat,
2016-08-27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,West Indies,India,field,West Indies
2016-08-28,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,West Indies,India,field,
2017-02-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Bangladesh,India,bat,India
2016-08-17,Skarpnack 1,Stockholm,Gibraltar,Israel,Israel,field,Israel
2016-08-17,Skarpnack 2,Stockholm,Germany,Isle of Man,Isle of Man,field,Germany
2016-08-17,Skarpnack 1,Stockholm,Gibraltar,Isle of Man,Isle of Man,field,Isle of Man
2016-08-17,Skarpnack 2,Stockholm,Israel,Spain,Spain,field,Spain
2016-09-23,Dubai International Cricket Stadium,,Pakistan,West Indies,Pakistan,field,Pakistan
2016-09-24,Dubai International Cricket Stadium,,Pakistan,West Indies,West Indies,field,Pakistan
2016-09-27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,West Indies,Pakistan,field,Pakistan
2016-09-30,Sharjah Cricket Stadium,,Pakistan,West Indies,West Indies,field,Pakistan
2016-10-02,Sharjah Cricket Stadium,,Pakistan,West Indies,Pakistan,bat,Pakistan
2016-10-05,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,West Indies,Pakistan,bat,Pakistan
2016-10-13,Dubai International Cricket Stadium,,Pakistan,West Indies,Pakistan,bat,Pakistan
2016-10-21,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,West Indies,Pakistan,bat,Pakistan
2016-10-30,Sharjah Cricket Stadium,,Pakistan,West Indies,Pakistan,bat,West Indies
2016-10-22,Saxton Oval,,Central Stags,Otago Volts,Otago Volts,bat,
2016-10-22,Hagley Oval,,Canterbury,Northern Districts,Northern Districts,field,Northern Districts
2016-10-22,Bay Oval,,Wellington Firebirds,Auckland Aces,Wellington Firebirds,field,Wellington Firebirds
2016-10-29,Cello Basin Reserve,,Wellington Firebirds,Northern Districts,Wellington Firebirds,field,
2016-10-29,Hagley Oval,,Canterbury,Central Stags,Central Stags,field,Canterbury
2016-10-29,Kennards Hire Community Oval,,Auckland Aces,Otago Volts,Auckland Aces,field,Auckland Aces
2016-11-05,Seddon Park,,Northern Districts,Canterbury,Canterbury,field,Northern Districts
2016-11-05,Kennards Hire Community Oval,,Auckland Aces,Wellington Firebirds,Auckland Aces,field,
2016-11-05,University of Otago Oval,,Otago Volts,Central Stags,Otago Volts,bat,
2016-11-14,Bay Oval,,Northern Districts,Auckland Aces,Auckland Aces,field,
2016-11-22,University of Otago Oval,,Otago Volts,Wellington Firebirds,Otago Volts,bat,
2016-11-22,Nelson Park,,Central Stags,Northern Districts,Central Stags,bat,
2016-11-22,Mainpower Oval,,Canterbury,Auckland Aces,Auckland Aces,field,Canterbury
2017-02-25,Colin Maiden Park,,Auckland Aces,Central Stags,Auckland Aces,bat,
2017-02-25,Cobham Oval,,Northern Districts,Otago Volts,Otago Volts,field,Otago Volts
2017-03-06,Eden Park,,Auckland Aces,Canterbury,Canterbury,bat,
2017-03-06,Seddon Park,,Northern Districts,Central Stags,Central Stags,bat,
2017-03-06,Westpac Stadium,,Wellington Firebirds,Otago Volts,Otago Volts,field,
2017-03-14,Kennards Hire Community Oval,,Auckland Aces,Northern Districts,Auckland Aces,bat,Auckland Aces
2017-03-14,Hagley Oval,,Canterbury,Otago Volts,Canterbury,field,Canterbury
2017-03-21,University of Otago Oval,,Otago Volts,Auckland Aces,Auckland Aces,field,Auckland Aces
2017-03-21,Bay Oval,,Northern Districts,Wellington Firebirds,Wellington Firebirds,bat,Northern Districts
2017-03-21,Saxton Oval,,Central Stags,Canterbury,Central Stags,field,Central Stags
2017-03-29,Hagley Oval,,Canterbury,Wellington Firebirds,Wellington Firebirds,field,Wellington Firebirds
2017-03-29,University of Otago Oval,,Otago Volts,Northern Districts,Northern Districts,field,Northern Districts
2016-09-27,Gymkhana Club Ground,Nairobi,Kenya,Saudi Arabia,Kenya,field,Saudi Arabia
2016-09-27,Jaffery Sports Club Ground,Nairobi,Qatar,Uganda,Uganda,bat,Qatar
2016-09-28,Gymkhana Club Ground,Nairobi,Kenya,Uganda,Kenya,field,Kenya
2016-09-28,Jaffery Sports Club Ground,Nairobi,Qatar,Saudi Arabia,Qatar,field,Saudi Arabia
2016-09-29,Gymkhana Club Ground,Nairobi,Kenya,Qatar,Qatar,field,Qatar
2016-10-29,Harare Sports Club,,Zimbabwe,Sri Lanka,Sri Lanka,bat,Sri Lanka
2016-11-06,Harare Sports Club,,Zimbabwe,Sri Lanka,Zimbabwe,field,Sri Lanka
2016-11-14,Harare Sports Club,,Zimbabwe,Sri Lanka,Sri Lanka,field,Sri Lanka
2016-11-16,Harare Sports Club,,Sri Lanka,West Indies,Sri Lanka,field,West Indies
2016-11-19,Queens Sports Club,Bulawayo,Zimbabwe,West Indies,Zimbabwe,bat,
2016-11-21,Queens Sports Club,Bulawayo,Zimbabwe,Sri Lanka,Zimbabwe,bat,
2016-11-23,Queens Sports Club,Bulawayo,Sri Lanka,West Indies,West Indies,field,Sri Lanka
2016-11-25,Queens Sports Club,Bulawayo,Zimbabwe,West Indies,Zimbabwe,bat,Zimbabwe
2016-11-27,Queens Sports Club,Bulawayo,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka
